raw_rank,name,slug,parent,category,eth_tvl_usd,verdict,reason,github_orgs,audit_links,listed_at
97,crvUSD,crvusd,parent#curve-finance,CDP,161769904,review,sibling version of Curve DEX (separate codebase?),,https://docs.curve.finance/references/audits/#curve-stablecoin-and-lending,1683150941
98,Huma Finance V2,huma-finance-v2,,RWA,158214181,review,borderline category: RWA,00labs,https://docs.huma.finance/ecosystem-resources/security-audits,1779853635
99,Aster Bridge,aster-bridge,parent#astherus,Bridge,148120001,drop,category Bridge is not a DeFi protocol with its own contracts,,,1720175975
100,Stake DAO Yield,stake-dao-yield,,Yield,146526222,review,borderline category: Yield,,https://docs.stakedao.org/audits,
101,HTX,htx,,CEX,141987806,drop,category CEX is not a DeFi protocol with its own contracts,,,1668362612
102,Saturn,saturn,,Stablecoin Wrapper,140810090,keep,,,,1775766807
103,RockawayX,rockawayx,,Risk Curators,140601932,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1774551409
104,Avalanche Core Bridge,avalanche-core-bridge,,Canonical Bridge,140028570,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
105,Lagoon,lagoon,,Onchain Capital Allocator,138823509,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,hopperlabsxyz,https://docs.lagoon.finance/resources/audits,1734930934
106,Frax Ether,frax-ether,parent#frax-finance,Liquid Staking,138670730,keep,,,,1666641678
107,Phemex,phemex,,CEX,138501020,drop,category CEX is not a DeFi protocol with its own contracts,,,1671451792
108,Yield Basis,yield-basis,,Leveraged Farming,138389500,review,borderline category: Leveraged Farming,,,1758821541
109,Mantle Bridge,mantle-bridge,,Canonical Bridge,134966631,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
110,Armitage by Wintermute,armitage-by-wintermute,,Risk Curators,134762007,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1779310578
111,Theo Network thUSD,theo-network-thusd,parent#theo,RWA,134587511,review,borderline category: RWA,,https://github.com/Zellic/publications/blob/master/ThUSD%20-%20Zellic%20Audit%20Report.pdf;https://github.com/zenith-security/reports/blob/main/reports/Theo%20Tokenized%20Staking%20Vault%20-%20Zenith%20Audit%20Report.pdf;https://github.com/peckshield/publications/blob/main/audit_reports/Peckshield_Audit_Report_Theo_Network_ThUSD.pdf,1789001313
112,fx Protocol,fx-protocol,,Dual-Token Stablecoin,132085690,keep,,,https://github.com/AladdinDAO/aladdin-v3-contracts/blob/main/audit-reports/SECBIT_f(x)_V2_Report_v1.4_20250107.pdf,1691149929
113,Axelar,axelar,parent#axelar-network,Bridge,131038342,drop,category Bridge is not a DeFi protocol with its own contracts,,https://github.com/axelarnetwork/audits,1667045416
114,zkSync Era txBridge,zksync-era-txbridge,,Canonical Bridge,129981930,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
115,Bitvavo,bitvavo,,CEX,127613855,drop,category CEX is not a DeFi protocol with its own contracts,,,1774432030
116,Nexus Mutual,nexus-mutual,,Insurance,116146891,keep,,NexusMutual,https://nexusmutual.gitbook.io/docs/helpful-resources/audits-and-security,
117,K3 Capital,k3-capital,,Risk Curators,114470880,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1747734980
118,Compound V2,compound-v2,parent#compound-finance,Lending,112694128,review,sibling version of Compound V3 (separate codebase?),,https://compound.finance/docs/security,
119,Sky Money,sky-money,parent#maker,Risk Curators,110376803,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1779217533
120,Bedrock uniBTC,bedrock-unibtc,parent#bedrock,Anchor BTC,109345502,keep,,,,1730219911
121,Avalon CeDeFi,avalon-cedefi,parent#avalon-labs,Anchor BTC,109255885,keep,,,,1725498632
122,Bitunix,bitunix,,CEX,107274161,drop,category CEX is not a DeFi protocol with its own contracts,,,1724758911
123,UNCX Network V2,uncx-network-v2,parent#uncx-network,Token Locker,106769455,keep,,,https://github.com/softstackHQ/Smart-Contract-Security-Audits/tree/master/Unicrypt;https://www.certik.com/projects/unicrypt,1652762212
124,Liquity V2,liquity-v2,parent#liquity,CDP,106037894,review,sibling version of Liquity V1 (separate codebase?),,https://docs.liquity.org/v2-documentation/technical-resources,1737631098
125,Homora V2,homora-v2,,Leveraged Farming,105826663,review,borderline category: Leveraged Farming,,https://blog.openzeppelin.com/alpha-homora-v2/,
126,Frax USD,frax-usd,parent#frax-finance,RWA,102839763,review,borderline category: RWA; sibling version of Frax Ether (separate codebase?),,,1755567417
127,Railgun,railgun,,Privacy,97559457,drop,category Privacy is not a DeFi protocol with its own contracts,Railgun-Privacy;Railgun-Community,http://assets.railgun.ch/docs/audits/Railgun%20Audit%20Report%20-%20Zokyo%20November%202021.pdf;https://bafybeiakdhweojvf7zvtp2tr32alzam4yyifbolf7fgrmsshalea7fv55m.ipfs.cf-ipfs.com/docs/Railgun%20Audit%20Report%20-%20ABDK%20July%202021.pdf,1643326249
128,stake.link liquid,stake.link-liquid,parent#stake.link,Liquid Staking,95185970,keep,,,,1671639906
129,Enzyme Finance,enzyme-finance,,Indexes,91248100,review,borderline category: Indexes,enzymefinance,https://audit.enzyme.finance/,
130,Renzo,renzo,,Liquid Restaking,87919451,keep,,Renzo-Protocol,https://docs.renzoprotocol.com/docs/security/audits,1702962127
131,Usual USD0,usual-usd0,parent#usual,RWA,87866687,review,borderline category: RWA,,https://tech.usual.money/security-and-audits/audits ,1721046229
132,Concentrator,concentrator,,Yield,87382231,review,borderline category: Yield,AladdinDAO,https://aladdin.club/audits/AladdinDao_V3_Report_Secbit.pdf,1647257070
133,Frankencoin,frankencoin,,CDP,87298021,keep,,Frankencoin-ZCHF,https://github.com/Frankencoin-ZCHF/Frankencoin/blob/main/audits/V1/ChainSecurity-audit.pdf;https://github.com/Frankencoin-ZCHF/Frankencoin/blob/main/audits/V1/blockbite-audit.pdf;https://github.com/Frankencoin-ZCHF/Frankencoin/blob/main/audits/V2/ChainSecurity_Frankencoin_Frankencoin_v2024.pdf;https://github.com/Frankencoin-ZCHF/Frankencoin/blob/main/audits/V2/frankencoin-audit-report-2024-1.1.pdf;https://github.com/Frankencoin-ZCHF/Frankencoin/tree/main/audits/V1;https://github.com/Frankencoin-ZCHF/Frankencoin/tree/main/audits/V2,1699970045
134,Swell L2 Farm,swell-l2-farm,parent#swell,Farm,87048614,keep,,,,1712729172
135,Stargate V2,stargate-v2,parent#stargate-finance,Cross Chain Bridge,86519723,keep,,,https://github.com/LayerZero-Labs/Audits/blob/main/audits/OApp%26OFT-Zellic-12JUN2024.pdf,1719902937
136,BingX,bingx,,CEX,86336262,drop,category CEX is not a DeFi protocol with its own contracts,,,1720449775
137,Aave V2,aave-v2,parent#aave,Lending,86227977,review,sibling version of Aave V3 (separate codebase?),,https://aave.com/security,
138,Vesper,vesper,,Yield Aggregator,83802987,review,borderline category: Yield Aggregator,vesperfi,https://github.com/vesperfi/doc/tree/main/audit,
139,Avalon Superearn,avalon-superearn,parent#avalon-labs,Yield,83770682,review,borderline category: Yield; sibling version of Avalon CeDeFi (separate codebase?),,,1771433427
140,Zama,zama,,Privacy,81703675,drop,category Privacy is not a DeFi protocol with its own contracts,zama-ai,,1777919449
141,Bitwise USCC,bitwise-uscc,parent#superstate,Basis Trading,81686162,review,borderline category: Basis Trading; sibling version of Invesco USTB (separate codebase?),,,1725888273
142,AO Bridge,ao-bridge,,Canonical Bridge,79780445,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
143,Wise Token,wise-token,,Yield,77566778,review,borderline category: Yield,wise-foundation,,1787081257
144,Curve LlamaLend,curve-llamalend,parent#curve-finance,Lending,76005294,review,sibling version of Curve DEX (separate codebase?),,,1710843413
145,Galaxy Curation,galaxy-curation,,Risk Curators,75801392,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1779383281
146,BitFi Basis,bitfi-basis,parent#bitfi,Basis Trading,75012437,review,borderline category: Basis Trading,,,1739530444
147,Hyperithm,hyperithm,,Risk Curators,74380412,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1747734486
148,SolvBTC LSTs,solvbtc-lsts,parent#solv-protocol,Restaked BTC,74145903,keep,,,,1728477201
149,Bitmex,bitmex,,CEX,73642368,drop,category CEX is not a DeFi protocol with its own contracts,,,1668703052
150,Lombard Vaults,lombard-vaults,parent#lombard-finance,Onchain Capital Allocator,73371769,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,,1726215518
151,Sky RWA,sky-rwa,parent#maker,RWA,72235811,review,borderline category: RWA; sibling version of Sky Lending (separate codebase?),,,1697730940
152,Circle Gateway,circle-gateway,parent#circle,Cross Chain Bridge,68903915,keep,,,,1782778325
153,USDCx,usdcx,parent#circle,Stablecoin Wrapper,68831112,review,sibling version of Circle Gateway (separate codebase?),,,1782415477
154,Treehouse Protocol,treehouse-protocol,,DOR,67981007,keep,,,https://github.com/treehouse-gaia/audit-report,1725968902
155,Tori Finance,tori-finance,,Basis Trading,67912379,review,borderline category: Basis Trading,,https://docs.tori.finance/security/audits,1782275555
156,Indodax,indodax,,CEX,66936815,drop,category CEX is not a DeFi protocol with its own contracts,,,1752664331
157,Blast Bridge,blast-bridge,parent#blast-l2,Canonical Bridge,64478547,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
158,Yearn Curating,yearn-curating,parent#yearn,Risk Curators,63718284,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1748533355
159,PulseChain Bridge,pulsechain-bridge,,Canonical Bridge,62412745,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
160,Origin Ether,origin-ether,parent#origin-defi,Liquid Staking,61187244,keep,,,,1683581147
161,Ink Bridge,ink-bridge,,Canonical Bridge,60750356,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
162,Lisk Bridge,lisk-bridge,,Canonical Bridge,59097958,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,LiskHQ,,
163,Sonic Gateway,sonic-gateway,,Canonical Bridge,58834090,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,1738081153
164,Origami Finance,origami-finance,,Leveraged Farming,58653629,review,borderline category: Leveraged Farming,,https://docs.origami.finance/technical-reference/audits,1715612691
165,Zircuit Staking,zircuit-staking,,Farm,58513162,keep,,,https://dubiw3zgo51jg.cloudfront.net/zircuit_audit_final.pdf,1709594345
166,Euler V2,euler-v2,parent#euler,Lending,58166434,keep,,,https://www.euler.finance/#security,1724665226
167,Polygon zkEVM Bridge,polygon-zkevm-bridge,,Canonical Bridge,56912925,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
168,Aera V2,aera-v2,parent#aera,Onchain Capital Allocator,55092117,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,https://github.com/aera-finance/aera-contracts-public/blob/main/v2/audits/spearbit/2023-09-22.pdf,1710850850
169,Axis,axis,,Basis Trading,54344766,review,borderline category: Basis Trading,,https://www.openzeppelin.com/news/axis-coordinate-v2-contracts-audit,1787263751
170,Beefy,beefy,,Yield Aggregator,53317809,review,borderline category: Yield Aggregator,beefyfinance,https://github.com/beefyfinance/beefy-audits,
171,Vault Bridge,vault-bridge,,Risk Curators,52242266,drop,category Risk Curators is not a DeFi protocol with its own contracts,,https://github.com/agglayer/vault-bridge/tree/v0.5.0/audits,1749770022
172,Resupply,resupply,,Lending,51854781,keep,,resupplyfi,https://docs.resupply.fi/faq/audits,1743178567
173,Plume Vaults,plume-vaults,,RWA,49301826,review,borderline category: RWA,,https://github.com/plumenetwork/contracts/blob/main/staking/audit/slowmist.pdf;https://github.com/plumenetwork/contracts/blob/main/staking/audit/slowmist2.pdf,1729962607
174,infiniFi,infinifi,,Yield,49110205,review,borderline category: Yield,InfiniFi-Labs,https://docsend.com/view/vxet6fdzgb6zhfnn;https://docsend.com/view/qtz5tmdi35d7f5si;https://docsend.com/view/8nw9dtr9qhssndzw,1748465947
175,Tulipa Capital,tulipa-capital,,Risk Curators,48464127,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1747736624
176,Gravity by Galxe,gravity-by-galxe,,Canonical Bridge,48253220,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
177,NEAR Bridge,near-bridge,parent#near-protocol,Canonical Bridge,47687273,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
178,NEAR Intents,near-intents,parent#near-protocol,Bridge,47008102,drop,category Bridge is not a DeFi protocol with its own contracts,,,1760656359
179,UltraYield Curator,ultrayield-curator,parent#ultrayield,Risk Curators,45371112,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1761342069
180,Mantle Restaking,mantle-restaking,,Liquid Restaking,45009266,keep,,,https://docs.mantle.xyz/meth/security/audits,1731495743
181,OpenTrade,opentrade,,RWA,43992749,review,borderline category: RWA,,,1733496042
182,Flux Finance,flux-finance,,Lending,43494108,drop,fork of Compound V2,,,1676431956
183,IDEX V1,idex-v1,parent#idex,Dexs,43192716,keep,,,https://github.com/idexio/idex-contracts/tree/master/audits;https://callisto.network/idex-security-audit/,
184,CoinDCX,coindcx,,CEX,43171548,drop,category CEX is not a DeFi protocol with its own contracts,,,
185,Telos Consilium,telos-consilium,,Risk Curators,43030447,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1759244012
186,VALR,valr,,CEX,42654535,drop,category CEX is not a DeFi protocol with its own contracts,,,1759165241
187,Scroll Bridge,scroll-bridge,,Canonical Bridge,41242363,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
188,Clearstar,clearstar,,Risk Curators,40639635,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1747733862
189,Makina,makina,,Onchain Capital Allocator,39431116,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,MakinaHQ,https://docs.makina.finance/concepts/security/audits,1762370744
190,Ember Protocol,ember-protocol,,Onchain Capital Allocator,39396994,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,https://ember.so/documents/ember_protocol_audit.pdf,1758144089
191,Aera V3,aera-v3,parent#aera,Onchain Capital Allocator,39373124,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,,1751553171
192,NodeDAO,nodedao,,Liquid Staking,39212645,keep,,,https://www.nodedao.com/paf/MetaTrust.pdf;https://www.nodedao.com/paf/BEOSIN.pdf,1684416874
193,dYdX V3,dydx-v3,parent#dydx,Derivatives,39112138,review,borderline category: Derivatives,,https://docs.dydx.exchange/#independent-audits,
194,Alchemix V3,alchemix-v3,parent#alchemix,Synthetics,38032595,keep,,,https://github.com/runtimeverification/publications/blob/main/reports/smart-contracts/Alchemix_v3.pdf,1776975864
195,AUTOfinance,autofinance,,Yield,37946881,review,borderline category: Yield,Tokemak,https://docs.tokemak.xyz/developer-docs/security-and-audits,
196,Ring Few,ring-few,parent#ring-protocol,Bridge,37799110,drop,category Bridge is not a DeFi protocol with its own contracts,,https://github.com/RingProtocol/audits,1709414739
197,Noon,noon,,Yield,37561628,review,borderline category: Yield,,https://docs.noon.capital/security/smart-contract-audits,1738617865
198,Strata Markets,strata-markets,parent#strata,Yield,37509026,review,borderline category: Yield,,https://docs.strata.markets/technical-documentation/audits,1760577905
199,BloFin,blofin,,CEX,36814043,drop,category CEX is not a DeFi protocol with its own contracts,,,1724672849
200,Frax,frax,parent#frax-finance,Algo-Stables,35561127,review,sibling version of Frax Ether (separate codebase?),,https://www.certik.org/projects/fraxfinance,
201,Reserve Protocol,reserve-protocol,,Indexes,35544815,review,borderline category: Indexes,reserve-protocol,https://reserve.org/protocol/security/?search=audit#s-result,
202,3F,3f,,Leveraged Farming,35346499,review,borderline category: Leveraged Farming,3FLabs,,1779748015
203,Derive V2,derive-v2,parent#lyra,Derivatives,34763351,review,borderline category: Derivatives,,,1702643004
204,Grvt Bridge,grvt-bridge,parent#grvt,Bridge,34698114,drop,category Bridge is not a DeFi protocol with its own contracts,,,1736334414
205,Fusion by IPOR,fusion-by-ipor,parent#ipor,Yield Aggregator,33999335,review,borderline category: Yield Aggregator,,https://docs.ipor.io/audits,1726236262
206,Swell Liquid Staking,swell-liquid-staking,parent#swell,Liquid Staking,33790797,review,sibling version of Swell L2 Farm (separate codebase?),,https://docs.swellnetwork.io/swell/risks/smart-contract-audits,1682554957
207,Team Finance,team-finance,,Token Locker,33784673,keep,,team-finance,https://www.team.finance/file/audit.pdf,1656506800
208,Avant avETH,avant-aveth,parent#avant-protocol,Onchain Capital Allocator,33778360,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,https://docs.avantprotocol.com/security/contract-and-opsec-audits,1761266699
209,Curve LlamaLend V2,curve-llamalend-v2,parent#curve-finance,Lending,33562436,review,sibling version of Curve DEX (separate codebase?),,,1781205901
210,Aegis YUSD,aegis-yusd,parent#aegis,Basis Trading,33241924,review,borderline category: Basis Trading,,,1744284096
211,Connext,connext,parent#everclear,Bridge,33128595,drop,category Bridge is not a DeFi protocol with its own contracts,,https://drive.google.com/file/d/1l42vxzHwLXrKU10v3FutG2DWthU43vB8/view?pli=1,
212,Toobit,toobit,,CEX,33037120,drop,category CEX is not a DeFi protocol with its own contracts,,,1722425635
213,SuiBridge,suibridge,,Canonical Bridge,32950400,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,1728552916
214,Swell Liquid Restaking,swell-liquid-restaking,parent#swell,Liquid Restaking,32692903,review,sibling version of Swell L2 Farm (separate codebase?),,https://docs.swellnetwork.io/swell/risks/smart-contract-audits,1706584385
215,Puffer Stake,puffer-stake,parent#puffer-finance,Liquid Restaking,32160723,keep,,,,1706793055
216,Gate US,gate-us,,CEX,32030218,drop,category CEX is not a DeFi protocol with its own contracts,,,1763560267
217,Gain,gain,parent#kelp-dao,Onchain Capital Allocator,31343111,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,,1729134534
218,Korbit,korbit,,CEX,31039026,drop,category CEX is not a DeFi protocol with its own contracts,,,1669113576
219,Metis Bridge,metis-bridge,,Canonical Bridge,30952204,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
220,Inverse Finance FiRM,inverse-finance-firm,parent#inverse-finance,CDP,30494477,keep,,,https://www.inverse.finance/audits,1673620866
221,Arrakis Modular,arrakis-modular,parent#arrakis-finance,Liquidity Manager,29867795,keep,,,https://github.com/ArrakisFinance/arrakis-modular/blob/main/audit/Arrakis_Modular_Audit_Report_by_WatchPug.pdf;https://github.com/ArrakisFinance/arrakis-modular/blob/main/audit/ChainSecurity_Spacing_Guild_Arrakis_Modular_audit.pdf,1729682594
222,Poly Network,poly-network,,Bridge,29459539,drop,category Bridge is not a DeFi protocol with its own contracts,polynetwork,https://github.com/polynetwork/audit-report,1654083965
