raw_rank,name,slug,parent,category,eth_tvl_usd,verdict,reason,github_orgs,audit_links,listed_at
264,Multichain,multichain,,Bridge,17712703,drop,category Bridge is not a DeFi protocol with its own contracts,anyswap,https://github.com/anyswap/Anyswap-Audit/blob/master/TrailOfBits/Anyswap-CrossChain-Bridge-TrailofBits-Audit-Final%20Report.pdf;https://github.com/anyswap/Anyswap-Audit/blob/master/SlowMist/AnySwap%20CrossChain-Bridge%20Security%20Audit%20Report.pdf;https://github.com/anyswap/Anyswap-Audit/blob/master/SlowMist/Anyswap%20Smart%20Contract%20Security%20Audit.pdf;https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-Travala-AnyswapV5ERC20-v1.0.pdf,
265,Api3,api3,,Risk Curators,17618952,drop,category Risk Curators is not a DeFi protocol with its own contracts,api3dao,https://github.com/api3dao/contracts/tree/main/audit-reports,1643713220
266,Y10K Capital,y10k-capital,,Risk Curators,17393830,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1784152457
267,Bancor V3,bancor-v3,parent#bancor,Dexs,17324291,keep,,,https://docs.bancor.network/about-bancor-network/security-and-audits,1660936922
268,Bitrue,bitrue,,CEX,17071517,drop,category CEX is not a DeFi protocol with its own contracts,,,1738755255
269,Backpack,backpack,,CEX,16925522,drop,category CEX is not a DeFi protocol with its own contracts,,,
270,Morph Bridge,morph-bridge,,Bridge,16678689,drop,category Bridge is not a DeFi protocol with its own contracts,,,1730320771
271,Zoomex,zoomex,,CEX,16044089,drop,category CEX is not a DeFi protocol with its own contracts,,,1748270471
272,Index Coop,index-coop,,Indexes,16025256,review,borderline category: Indexes,SetProtocol,https://docs.tokensets.com/protocol/security;https://gist.github.com/bernard-wagner/8a96ae7b9746ba8394dc6c16202a6b64,
273,Equilibria,equilibria,,Yield,16017193,drop,fork of Convex Finance,eqbtech,https://docs.equilibria.fi/security-and-risk/audit-report,1686276971
274,NEMO Trading,nemo-trading,,Risk Curators,15184745,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1789785107
275,Origin ARM,origin-arm,parent#origin-defi,Yield,15119891,review,borderline category: Yield; sibling version of Origin Ether (separate codebase?),,https://docs.originprotocol.com/security-and-risk/audits,1729847936
276,Balancer V3,balancer-v3,parent#balancer,Dexs,15089010,review,sibling version of Balancer V2 (separate codebase?),,,1733938643
277,Mezo Bridge,mezo-bridge,,Bridge,14700750,drop,category Bridge is not a DeFi protocol with its own contracts,thesis,,1714516311
278,Set Protocol,set-protocol,,Indexes,14580890,review,borderline category: Indexes,SetProtocol,https://www.tokensets.com/#/security,
279,ZEROBASE CeDeFi,zerobase-cedefi,,Basis Trading,14518801,review,borderline category: Basis Trading,,https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-ZeroBase-Vault-v1.0.pdf;https://github.com/Salusec/Salus-audit/blob/main/2024/ZeroBase_report_2024-12-24.pdf,1749017141
280,Ourbit,ourbit,,CEX,14326970,drop,category CEX is not a DeFi protocol with its own contracts,,,1731321464
281,BYDFi,bydfi,,CEX,14254016,drop,category CEX is not a DeFi protocol with its own contracts,,,
282,Lista Lending,lista-lending,parent#lista-dao,Lending,14243919,keep,,,https://github.com/lista-dao/moolah/tree/master/docs/audits,1744828415
283,Juicebox V1,juicebox-v1,parent#juicebox,Launchpad,14090813,keep,,,https://hacken.io/wp-content/uploads/2022/01/%D0%A1onstitution-DAO_11012022Audit_Report.pdf,1681516871
284,Badger DAO,badger-dao,,Yield Aggregator,13657568,review,borderline category: Yield Aggregator,Badger-Finance,https://badger.finance/wp-content/uploads/2021/01/HAECHI-AUDIT-BadgerDAO-Smart-Contract-Audit-Report-1.pdf;https://code4rena.com/contests/2022-06-badger-vested-aura-contest/;https://github.com/Badger-Finance/badger-vaults-1.5/blob/main/security/audits/Badger%20Vaults%201.5%20-%20Quantstamp%20-%20Jan%202022.pdf;https://code4rena.com/reports/2021-10-badgerdao/;https://code4rena.com/reports/2021-09-bvecvx/;https://badger.com/images/uploads/quantstamp-badger-ib-btc.pdf;https://badger.com/images/uploads/defi-yield-badger-finance.pdf;https://badger.com/images/uploads/zokyo-badger-sc-audit.pdf,
285,Taiko Bridge,taiko-bridge,,Canonical Bridge,13606939,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,1716911519
286,PinkSale,pinksale,,Launchpad,13493309,keep,,,,1654537684
287,Orderly Bridge,orderly-bridge,parent#orderly-network,Bridge,13463207,drop,category Bridge is not a DeFi protocol with its own contracts,,https://github.com/OrderlyNetwork/Audits,1668086145
288,edgeX Bridge,edgex-bridge,parent#edgex,Bridge,13380655,drop,category Bridge is not a DeFi protocol with its own contracts,,,1723024710
289,Arbitrum Nova Bridge,arbitrum-nova-bridge,,Canonical Bridge,12756542,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
290,Aevo Perps,aevo-perps,parent#aevo,Derivatives,12718087,review,borderline category: Derivatives,,https://github.com/aevoxyz/audit,1681122429
